Randomizer V3.1
Seed: 525693944
Excluded pickups: 5 19 28 
Chozo - - - Main Plaza (Half-Pipe) - - - - - - - - Missile Expansion 17 - - Warps to: Chozo Ruins | East Atrium
Chozo - - - Dynamo (Spider Track)  - - - - - - - - Artifact of Chozo  - - - Warps to: Chozo Ruins | Transport to Tallon Overworld South
Chozo - - - Burn Dome (Missile)  - - - - - - - - - Power Bomb - - - - - - - Warps to: Tallon Overworld | Biotech Research Area 1
Chozo - - - Burn Dome (I. Drone) - - - - - - - - - Morph Ball Bomb
Chozo - - - Furnace (Spider Tracks)  - - - - - - - Artifact of World  - - - Warps to: Tallon Overworld | Transport Tunnel B
Chozo - - - Furnace (Inside Furnace) - - - - - - - Artifact of Warrior  - - Warps to: Chozo Ruins | Watery Hall Access
Chozo - - - Hall of the Elders - - - - - - - - - - Missile Expansion 3  - - Warps to: Tallon Overworld | Biotech Research Area 1
Chozo - - - Crossway - - - - - - - - - - - - - - - Artifact of Newborn  - - Warps to: Phendrana Drifts | Storage Cave
Chozo - - - Elder Chamber  - - - - - - - - - - - - Missile Expansion 49 - - Warps to: Phendrana Drifts | Save Station A
Chozo - - - Antechamber  - - - - - - - - - - - - - Power Bomb Expansion 1 - Warps to: Phazon Mines | Fungal Hall Access
Phendrana - Phendrana Shorelines (Behind Ice)  - - Missile Expansion 43 - - Warps to: Phazon Mines | Phazon Mining Tunnel
Phendrana - Phendrana Shorelines (Spider Track)  - Missile Expansion 38 - - Warps to: Phazon Mines | Central Dynamo
Phendrana - Chozo Ice Temple - - - - - - - - - - - Missile Expansion 41 - - Warps to: Chozo Ruins | Sun Tower Access
Phendrana - Ice Ruins West - - - - - - - - - - - - Artifact of Spirit - - - Warps to: Chozo Ruins | Tower of Light
Phendrana - Ice Ruins East (Behind Ice)  - - - - - Energy Tank 3  - - - - - Warps to: Magmoor Caverns | Transport Tunnel A
Phendrana - Ice Ruins East (Spider Track)  - - - - Super Missile  - - - - - Warps to: Tallon Overworld | Transport Tunnel B
Phendrana - Chapel of the Elders - - - - - - - - - Missile Expansion 32 - - Warps to: Chozo Ruins | Reflecting Pool Access
Phendrana - Ruined Courtyard - - - - - - - - - - - Missile Expansion 4  - - Warps to: Chozo Ruins | Vault Access
Phendrana - Phendrana Canyon - - - - - - - - - - - Missile Expansion 6  - - Warps to: Magmoor Caverns | Twin Fires Tunnel
Phendrana - Quarantine Cave  - - - - - - - - - - - Energy Tank 11 - - - - - Warps to: Phazon Mines | Elite Control Access
Phendrana - Research Lab Hydra - - - - - - - - - - X-Ray Visor  - - - - - - Warps to: Phendrana Drifts | Pike Access
Phendrana - Quarantine Monitor - - - - - - - - - - Missile Expansion 26 - - Warps to: Magmoor Caverns | Pit Tunnel
Phendrana - Observatory  - - - - - - - - - - - - - Artifact of Sun  - - - - Warps to: Phendrana Drifts | West Tower Entrance
Phendrana - Transport Access - - - - - - - - - - - Artifact of Elder  - - - Warps to: Tallon Overworld | Reactor Core
Phendrana - Control Tower  - - - - - - - - - - - - Artifact of Strength - - Warps to: Phendrana Drifts | Lower Edge Tunnel
Phendrana - Research Core  - - - - - - - - - - - - Missile Expansion 14 - - Warps to: Tallon Overworld | Root Tunnel
Phendrana - Frost Cave - - - - - - - - - - - - - - Power Bomb Expansion 3 - Warps to: Tallon Overworld | Root Tunnel
Phendrana - Research Lab Aether (Tank) - - - - - - Thermal Visor  - - - - - Warps to: Phendrana Drifts | Ruins Entryway
Phendrana - Research Lab Aether (Morph Track)  - - Energy Tank 9  - - - - - Warps to: Phazon Mines | Metroid Quarantine B
Phendrana - Gravity Chamber (Underwater) - - - - - Missile Expansion 40 - - Warps to: Tallon Overworld | Transport Tunnel A
Phendrana - Gravity Chamber (Grapple Ledge)  - - - Missile Expansion 12 - - Warps to: Phazon Mines | Quarantine Access A
Phendrana - Storage Cave - - - - - - - - - - - - - Energy Tank 10 - - - - - Warps to: Magmoor Caverns | Fiery Shores
Phendrana - Security Cave  - - - - - - - - - - - - Energy Tank 1  - - - - - Warps to: Chozo Ruins | Antechamber
Tallon  - - Landing Site - - - - - - - - - - - - - Artifact of Truth  - - - Warps to: Phendrana Drifts | East Tower
Tallon  - - Alcove - - - - - - - - - - - - - - - - Missile Expansion 47 - - Warps to: Phendrana Drifts | Aether Lab Entryway
Tallon  - - Frigate Crash Site - - - - - - - - - - Missile Expansion 1  - - Warps to: Phazon Mines | Transport Access
Tallon  - - Overgrown Cavern - - - - - - - - - - - Missile Expansion 39 - - Warps to: Phazon Mines | Elevator A
Tallon  - - Root Cave  - - - - - - - - - - - - - - Spider Ball  - - - - - - Warps to: Tallon Overworld | Transport Tunnel D
Tallon  - - Artifact Temple  - - - - - - - - - - - Missile Expansion 24 - - Warps to: Phendrana Drifts | Aether Lab Entryway
Tallon  - - Transport Tunnel B - - - - - - - - - - Missile Expansion 29 - - Warps to: Chozo Ruins | Energy Core Access
Tallon  - - Arbor Chamber  - - - - - - - - - - - - Missile Expansion 46 - - Warps to: Chozo Ruins | Furnace
Tallon  - - Cargo Freight Lift to Deck Gamma - - - Ice Beam - - - - - - - - Warps to: Phazon Mines | Elevator Access B
Tallon  - - Biohazard Containment  - - - - - - - - Missile Expansion 19 - - Warps to: Magmoor Caverns | Twin Fires Tunnel
Tallon  - - Hydro Access Tunnel  - - - - - - - - - Power Bomb Expansion 2 - Warps to: Chozo Ruins | Furnace
Tallon  - - Great Tree Chamber - - - - - - - - - - Missile Expansion 18 - - Warps to: Phendrana Drifts | Save Station A
Tallon  - - Life Grove Tunnel  - - - - - - - - - - Missile Expansion 33 - - Warps to: Chozo Ruins | Dynamo
Tallon  - - Life Grove (Start) - - - - - - - - - - Phazon Suit  - - - - - - Warps to: Chozo Ruins | Sun Tower
Tallon  - - Life Grove (Underwater Spinner)  - - - Space Jump Boots - - - - Warps to: Phendrana Drifts | Ice Ruins Access
Mines - - - Main Quarry  - - - - - - - - - - - - - Plasma Beam  - - - - - - Warps to: Phendrana Drifts | Research Core
Mines - - - Security Access A  - - - - - - - - - - Energy Tank 6  - - - - - Warps to: Tallon Overworld | Transport Tunnel C
Mines - - - Storage Depot B  - - - - - - - - - - - Wave Beam  - - - - - - - Warps to: Tallon Overworld | Main Ventilation Shaft Section B
Mines - - - Storage Depot A  - - - - - - - - - - - Missile Expansion 16 - - Warps to: Phendrana Drifts | Ice Ruins East
Mines - - - Elite Research (Phazon Elite)  - - - - Energy Tank 4  - - - - - Warps to: Phendrana Drifts | Transport to Magmoor Caverns South
Mines - - - Elite Research (Laser) - - - - - - - - Missile Expansion 10 - - Warps to: Tallon Overworld | Transport to Magmoor Caverns East
Mines - - - Elite Control Access - - - - - - - - - Energy Tank 12 - - - - - Warps to: Phendrana Drifts | Temple Entryway
Mines - - - Ventilation Shaft  - - - - - - - - - - Missile Expansion 44 - - Warps to: Phazon Mines | Quarantine Access A
Mines - - - Phazon Processing Center - - - - - - - Missile Expansion 22 - - Warps to: Tallon Overworld | Biotech Research Area 1
Mines - - - Processing Center Access - - - - - - - Missile Expansion 7  - - Warps to: Tallon Overworld | Biotech Research Area 1
Mines - - - Elite Quarters - - - - - - - - - - - - Energy Tank 5  - - - - - Warps to: Chozo Ruins | Watery Hall
Mines - - - Central Dynamo - - - - - - - - - - - - Grapple Beam - - - - - - Warps to: Chozo Ruins | Ruined Fountain
Mines - - - Metroid Quarantine B - - - - - - - - - Missile Expansion 23 - - Warps to: Tallon Overworld | Transport to Magmoor Caverns East
Mines - - - Metroid Quarantine A - - - - - - - - - Varia Suit - - - - - - - Warps to: Phendrana Drifts | Specimen Storage
Mines - - - Fungal Hall B  - - - - - - - - - - - - Artifact of Lifegiver  - Warps to: Tallon Overworld | Great Tree Chamber
Mines - - - Phazon Mining Tunnel - - - - - - - - - Missile Expansion 31 - - Warps to: Phazon Mines | Processing Center Access
Mines - - - Fungal Hall Access - - - - - - - - - - Energy Tank 14 - - - - - Warps to: Chozo Ruins | Eyon Tunnel
Magmoor - - Lava Lake  - - - - - - - - - - - - - - Missile Expansion 42 - - Warps to: Magmoor Caverns | Warrior Shrine
Magmoor - - Triclops Pit - - - - - - - - - - - - - Missile Expansion 27 - - Warps to: Tallon Overworld | Transport Tunnel A
Magmoor - - Storage Cavern - - - - - - - - - - - - Missile Expansion 48 - - Warps to: Tallon Overworld | Life Grove
Magmoor - - Transport Tunnel A - - - - - - - - - - Boost Ball - - - - - - - Warps to: Tallon Overworld | Main Ventilation Shaft Section B
Magmoor - - Warrior Shrine - - - - - - - - - - - - Missile Expansion 45 - - Warps to: Chozo Ruins | Sunchamber Access
Magmoor - - Shore Tunnel - - - - - - - - - - - - - Missile Expansion 21 - - Warps to: Phazon Mines | Metroid Quarantine B
Magmoor - - Fiery Shores (Morph Track) - - - - - - Missile Expansion 35 - - Warps to: Tallon Overworld | Temple Lobby
Magmoor - - Fiery Shores (Warrior Shrine Tunnel) - Artifact of Nature - - - Warps to: Tallon Overworld | Transport Tunnel C
Magmoor - - Plasma Processing  - - - - - - - - - - Energy Tank 13 - - - - - Warps to: Phazon Mines | Maintenance Tunnel
Magmoor - - Magmoor Workstation  - - - - - - - - - Charge Beam  - - - - - - Warps to: Tallon Overworld | Root Tunnel
