Randomizer V3.1
Seed: 425085363
Excluded pickups: 5 19 28 
Chozo - - - Main Plaza (Half-Pipe) - - - - - - - - Missile Expansion 17 - - Warps to: Phazon Mines | Elite Research
Chozo - - - Burn Dome (I. Drone) - - - - - - - - - Morph Ball Bomb
Chozo - - - Furnace (Spider Tracks)  - - - - - - - Artifact of Wild - - - - Warps to: Phendrana Drifts | Canyon Entryway
Chozo - - - Furnace (Inside Furnace) - - - - - - - Energy Tank 12 - - - - - Warps to: Chozo Ruins | Elder Chamber
Chozo - - - Hall of the Elders - - - - - - - - - - Missile Expansion 36 - - Warps to: Phendrana Drifts | Ruined Courtyard
Chozo - - - Crossway - - - - - - - - - - - - - - - Power Bomb Expansion 2 - Warps to: Phendrana Drifts | Observatory Access
Chozo - - - Elder Chamber  - - - - - - - - - - - - Phazon Suit  - - - - - - Warps to: Phendrana Drifts | Chapel Tunnel
Chozo - - - Antechamber  - - - - - - - - - - - - - Energy Tank 8  - - - - - Warps to: Phendrana Drifts | Research Lab Aether
Phendrana - Phendrana Shorelines (Behind Ice)  - - Artifact of Truth  - - - Warps to: Tallon Overworld | Transport Tunnel C
Phendrana - Phendrana Shorelines (Spider Track)  - Artifact of Chozo  - - - Warps to: Phendrana Drifts | Save Station A
Phendrana - Chozo Ice Temple - - - - - - - - - - - Energy Tank 14 - - - - - Warps to: Chozo Ruins | Piston Tunnel
Phendrana - Ice Ruins West - - - - - - - - - - - - Missile Expansion 49 - - Warps to: Magmoor Caverns | Shore Tunnel
Phendrana - Ice Ruins East (Behind Ice)  - - - - - Missile Expansion 38 - - Warps to: Phendrana Drifts | Research Core
Phendrana - Ice Ruins East (Spider Track)  - - - - Energy Tank 9  - - - - - Warps to: Phazon Mines | Quarry Access
Phendrana - Chapel of the Elders - - - - - - - - - Missile Expansion 2  - - Warps to: Magmoor Caverns | Triclops Pit
Phendrana - Ruined Courtyard - - - - - - - - - - - Missile Expansion 48 - - Warps to: Phendrana Drifts | West Tower Entrance
Phendrana - Phendrana Canyon - - - - - - - - - - - Missile Expansion 28 - - Warps to: Phendrana Drifts | Lower Edge Tunnel
Phendrana - Quarantine Cave  - - - - - - - - - - - Missile Expansion 30 - - Warps to: Chozo Ruins | Ruined Shrine Access
Phendrana - Research Lab Hydra - - - - - - - - - - Artifact of Lifegiver  - Warps to: Phazon Mines | Security Access A
Phendrana - Quarantine Monitor - - - - - - - - - - Missile Expansion 3  - - Warps to: Tallon Overworld | Landing Site
Phendrana - Observatory  - - - - - - - - - - - - - Missile Expansion 37 - - Warps to: Chozo Ruins | Eyon Tunnel
Phendrana - Transport Access - - - - - - - - - - - Missile Expansion 8  - - Warps to: Magmoor Caverns | Magmoor Workstation
Phendrana - Control Tower  - - - - - - - - - - - - Energy Tank 2  - - - - - Warps to: Magmoor Caverns | Warrior Shrine
Phendrana - Research Core  - - - - - - - - - - - - Artifact of World  - - - Warps to: Chozo Ruins | Save Station 3
Phendrana - Frost Cave - - - - - - - - - - - - - - Missile Expansion 45 - - Warps to: Phendrana Drifts | Frozen Pike
Phendrana - Research Lab Aether (Tank) - - - - - - Ice Spreader - - - - - - Warps to: Phazon Mines | Waste Disposal
Phendrana - Research Lab Aether (Morph Track)  - - Missile Expansion 22 - - Warps to: Tallon Overworld | Reactor Core
Phendrana - Gravity Chamber (Underwater) - - - - - Missile Expansion 20 - - Warps to: Magmoor Caverns | Pit Tunnel
Phendrana - Gravity Chamber (Grapple Ledge)  - - - Wavebuster - - - - - - - Warps to: Phazon Mines | Transport Access
Phendrana - Storage Cave - - - - - - - - - - - - - Energy Tank 11 - - - - - Warps to: Magmoor Caverns | South Core Tunnel
Phendrana - Security Cave  - - - - - - - - - - - - Missile Expansion 46 - - Warps to: Chozo Ruins | Training Chamber Access
Tallon  - - Landing Site - - - - - - - - - - - - - Spider Ball  - - - - - - Warps to: Tallon Overworld | Frigate Crash Site
Tallon  - - Alcove - - - - - - - - - - - - - - - - Artifact of Sun  - - - - Warps to: Phendrana Drifts | Temple Entryway
Tallon  - - Frigate Crash Site - - - - - - - - - - Power Bomb - - - - - - - Warps to: Chozo Ruins | Sunchamber Lobby
Tallon  - - Overgrown Cavern - - - - - - - - - - - Missile Expansion 18 - - Warps to: Magmoor Caverns | South Core Tunnel
Tallon  - - Root Cave  - - - - - - - - - - - - - - Missile Expansion 10 - - Warps to: Phazon Mines | Maintenance Tunnel
Tallon  - - Artifact Temple  - - - - - - - - - - - Missile Expansion 25 - - Warps to: Phazon Mines | Phazon Mining Tunnel
Tallon  - - Transport Tunnel B - - - - - - - - - - Artifact of Newborn  - - Warps to: Phendrana Drifts | Frost Cave Access
Tallon  - - Arbor Chamber  - - - - - - - - - - - - Missile Expansion 27 - - Warps to: Tallon Overworld | Temple Lobby
Tallon  - - Cargo Freight Lift to Deck Gamma - - - Power Bomb Expansion 4 - Warps to: Chozo Ruins | Transport to Tallon Overworld South
Tallon  - - Biohazard Containment  - - - - - - - - Artifact of Warrior  - - Warps to: Phazon Mines | Omega Research
Tallon  - - Hydro Access Tunnel  - - - - - - - - - Missile Expansion 33 - - Warps to: Chozo Ruins | Ruined Fountain
Tallon  - - Great Tree Chamber - - - - - - - - - - Missile Expansion 34 - - Warps to: Chozo Ruins | Map Station
Tallon  - - Life Grove Tunnel  - - - - - - - - - - Missile Expansion 41 - - Warps to: Tallon Overworld | Reactor Access
Tallon  - - Life Grove (Start) - - - - - - - - - - Energy Tank 6  - - - - - Warps to: Chozo Ruins | Reflecting Pool
Tallon  - - Life Grove (Underwater Spinner)  - - - Grapple Beam - - - - - - Warps to: Phazon Mines | Security Access A
Mines - - - Main Quarry  - - - - - - - - - - - - - Artifact of Elder  - - - Warps to: Magmoor Caverns | Triclops Pit
Mines - - - Security Access A  - - - - - - - - - - Energy Tank 7  - - - - - Warps to: Phendrana Drifts | Transport to Magmoor Caverns West
Mines - - - Storage Depot B  - - - - - - - - - - - Missile Expansion 13 - - Warps to: Tallon Overworld | Deck Beta Security Hall
Mines - - - Storage Depot A  - - - - - - - - - - - Energy Tank 3  - - - - - Warps to: Chozo Ruins | Antechamber
Mines - - - Elite Research (Phazon Elite)  - - - - Missile Expansion 23 - - Warps to: Chozo Ruins | Tower of Light Access
Mines - - - Elite Research (Laser) - - - - - - - - Power Bomb Expansion 1 - Warps to: Phazon Mines | Maintenance Tunnel
Mines - - - Elite Control Access - - - - - - - - - Missile Expansion 4  - - Warps to: Phendrana Drifts | Canyon Entryway
Mines - - - Ventilation Shaft  - - - - - - - - - - Missile Expansion 32 - - Warps to: Phazon Mines | Metroid Quarantine B
Mines - - - Phazon Processing Center - - - - - - - Artifact of Nature - - - Warps to: Tallon Overworld | Alcove
Mines - - - Processing Center Access - - - - - - - Artifact of Spirit - - - Warps to: Tallon Overworld | Overgrown Cavern
Mines - - - Elite Quarters - - - - - - - - - - - - Super Missile  - - - - - Warps to: Tallon Overworld | Cargo Freight Lift to Deck Gamma
Mines - - - Central Dynamo - - - - - - - - - - - - Missile Expansion 6  - - Warps to: Chozo Ruins | Training Chamber Access
Mines - - - Metroid Quarantine B - - - - - - - - - Missile Expansion 9  - - Warps to: Phazon Mines | Save Station Mines B
Mines - - - Metroid Quarantine A - - - - - - - - - Missile Expansion 19 - - Warps to: Tallon Overworld | Cargo Freight Lift to Deck Gamma
Mines - - - Fungal Hall B  - - - - - - - - - - - - Gravity Suit - - - - - - Warps to: Phazon Mines | Ventilation Shaft
Mines - - - Phazon Mining Tunnel - - - - - - - - - Missile Expansion 44 - - Warps to: Phendrana Drifts | West Tower 
Mines - - - Fungal Hall Access - - - - - - - - - - Flamethrower - - - - - - Warps to: Phazon Mines | Quarry Access
Magmoor - - Lava Lake  - - - - - - - - - - - - - - Missile Expansion 47 - - Warps to: Tallon Overworld | Main Ventilation Shaft Section A
Magmoor - - Triclops Pit - - - - - - - - - - - - - Missile Expansion 15 - - Warps to: Chozo Ruins | Transport to Tallon Overworld South
Magmoor - - Storage Cavern - - - - - - - - - - - - Missile Expansion 7  - - Warps to: Phendrana Drifts | Courtyard Entryway
Magmoor - - Transport Tunnel A - - - - - - - - - - Missile Expansion 11 - - Warps to: Tallon Overworld | Deck Beta Security Hall
Magmoor - - Warrior Shrine - - - - - - - - - - - - Missile Expansion 5  - - Warps to: Phendrana Drifts | Chapel of the Elders
Magmoor - - Shore Tunnel - - - - - - - - - - - - - Missile Expansion 35 - - Warps to: Phazon Mines | Mine Security Station
Magmoor - - Fiery Shores (Morph Track) - - - - - - Missile Expansion 39 - - Warps to: Chozo Ruins | Transport Access North
Magmoor - - Fiery Shores (Warrior Shrine Tunnel) - Charge Beam  - - - - - - Warps to: Tallon Overworld | Frigate Crash Site
Magmoor - - Plasma Processing  - - - - - - - - - - Missile Expansion 16 - - Warps to: Chozo Ruins | Ruined Shrine
Magmoor - - Magmoor Workstation  - - - - - - - - - Missile Expansion 12 - - Warps to: Phendrana Drifts | East Tower
