Seed: 1641672571
Excluded pickups: 5 19 28 
Chozo - - -  Main Plaza (Half-Pipe) - - - - - - - - Wave Beam - - - - - - - Warps to: Phazon Mines | Quarantine Access B
Mines - - -  Elite Research (Laser) - - - - - - - - Energy Tank - - - - - - Warps to: Phazon Mines | Security Access A
Mines - - -  Elite Control Access - - - - - - - - - Artifact of Spirit  - - Warps to: Chozo Ruins | Totem Access
Mines - - -  Ventilation Shaft - - - - - - - - - -  Missile Expansion - - - Warps to: Chozo Ruins | Tower Chamber
Mines - - -  Phazon Processing Center - - - - - - - Missile Expansion - - - Warps to: Chozo Ruins | Meditation Fountain
Mines - - -  Processing Center Access - - - - - - - Missile Expansion - - - Warps to: Phazon Mines | Quarantine Access A
Mines - - -  Elite Quarters - - - - - - - - - - - - Missile Expansion - - - Warps to: Tallon Overworld | Frigate Crash Site
Mines - - -  Central Dynamo - - - - - - - - - - - - Energy Tank - - - - - - Warps to: Phendrana Drifts |Courtyard Entryway
Mines - - -  Metroid Quarantine B - - - - - - - - - Missile Expansion - - - Warps to: Chozo Ruins | Magma Pool
Mines - - -  Metroid Quarantine A - - - - - - - - - Wavebuster  - - - - - - Warps to: Magmoor Caverns |Twin Fires Tunnel
Mines - - -  Fungal Hall B - - - - - - - - - - - -  Charge Beam - - - - - - Warps to: Magmoor Caverns |Magmoor Workstation
Mines - - -  Phazon Mining Tunnel - - - - - - - - - Missile Expansion - - - Warps to: Phendrana Drifts |Save Station A
Mines - - -  Fungal Hall Access - - - - - - - - - - Missile Expansion - - - Warps to: Phazon Mines | Elevator Access B
Magmoor - -  Lava Lake - - - - - - - - - - - - - -  Missile Expansion - - - Warps to: Phazon Mines | Transport to Tallon Overworld South
Magmoor - -  Triclops Pit - - - - - - - - - - - - - Power Bomb Expansion  - Warps to: Magmoor Caverns |Transport to Phazon Mines West
Magmoor - -  Storage Cavern - - - - - - - - - - - - Missile Expansion - - - Warps to: Tallon Overworld | Tallon Canyon
Magmoor - -  Transport Tunnel A - - - - - - - - - - Missile Expansion - - - Warps to: Phazon Mines | Transport to Tallon Overworld South
Magmoor - -  Warrior Shrine - - - - - - - - - - - - Artifact of Lifegiver - Warps to: Magmoor Caverns |Transport to Phazon Mines West
Magmoor - -  Shore Tunnel - - - - - - - - - - - - - Missile Expansion - - - Warps to: Phazon Mines | Omega Research
Magmoor - -  Fiery Shores (Morph Track) - - - - - - Power Bomb Expansion  - Warps to: Chozo Ruins | Vault Access
Magmoor - -  Fiery Shores (Warrior Shrine Tunnel) - Missile Expansion - - - Warps to: Phendrana Drifts |Hunter Cave
Magmoor - -  Plasma Processing - - - - - - - - - -  Missile Expansion - - - Warps to: Chozo Ruins | Watery Hall Access
Magmoor - -  Magmoor Workstation - - - - - - - - -  Missile Expansion - - - Warps to: Chozo Ruins | Gathering Hall
